"filename", "language", "JavaScript React", "CSS", "JavaScript", "Markdown", "HTML", "JSON", "XML", "comment", "blank", "total"
"c:\Users\maste\Solaris_Esports_eV\frontend\src\context\ThemeContext.jsx", "JavaScript React", 17, 0, 0, 0, 0, 0, 0, 5, 6, 28
"c:\Users\maste\Solaris_Esports_eV\frontend\src\context\TranslationContext.jsx", "JavaScript React", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\maste\Solaris_Esports_eV\frontend\src\hooks\useStorage.jsx", "JavaScript React", 26, 0, 0, 0, 0, 0, 0, 17, 7, 50
"c:\Users\maste\Solaris_Esports_eV\frontend\src\hooks\useTranslation.jsx", "JavaScript React", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\Users\maste\Solaris_Esports_eV\frontend\src\index.jsx", "JavaScript React", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\maste\Solaris_Esports_eV\frontend\src\pages\home\Home.jsx", "JavaScript React", 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\maste\Solaris_Esports_eV\frontend\src\scripts\SiteHeader.jsx", "JavaScript React", 166, 0, 0, 0, 0, 0, 0, 37, 15, 218
"c:\Users\maste\Solaris_Esports_eV\frontend\src\styles\ctaButton.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\maste\Solaris_Esports_eV\frontend\src\styles\font\clash-display.css", "CSS", 0, 63, 0, 0, 0, 0, 0, 28, 17, 108
"c:\Users\maste\Solaris_Esports_eV\frontend\src\styles\hoverArrow.css", "CSS", 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\maste\Solaris_Esports_eV\frontend\src\styles\style.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\maste\Solaris_Esports_eV\frontend\src\styles\variables.css", "CSS", 0, 56, 0, 0, 0, 0, 0, 7, 2, 65
"c:\Users\maste\Solaris_Esports_eV\frontend\src\translations\DE.jsx", "JavaScript React", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\maste\Solaris_Esports_eV\frontend\src\translations\EN.jsx", "JavaScript React", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\maste\Solaris_Esports_eV\frontend\src\translations\Translation.jsx", "JavaScript React", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\maste\Solaris_Esports_eV\frontend\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 1346, 772, 5, 154, 42, 31406, 15, 130, 237, 34107
